petition_id,abstract,label,numberOfSignatures
611,26,8,617
612,38,7,36
613,54,12,2614
614,33,4,1404
615,34,9,149
616,44,11,15
617,48,8,73
618,53,12,67
619,46,13,363
620,53,15,79
621,41,13,52
622,56,14,22
623,28,7,1171
624,36,4,225
625,43,10,1710
626,32,11,33
627,49,11,1476
628,51,7,4633
629,48,14,258
630,47,14,35
631,33,5,3360
632,53,13,41
633,42,15,21
634,49,11,17
635,45,10,10
636,45,10,188
637,38,13,597
638,23,12,1935
639,57,10,54
640,28,14,13
641,48,13,126
642,45,12,2016
643,7,5,15
644,47,12,4014
645,48,12,1678
646,44,7,96
647,47,13,10
648,50,11,2001
649,47,13,633
650,34,13,213
651,49,12,93
652,27,14,296
653,34,4,257
654,53,17,38
655,11,16,25
656,49,13,37
657,45,11,20
658,49,11,57
659,23,6,64
660,31,10,17
661,46,12,10
662,47,15,54
663,51,13,174
664,47,11,20
665,56,10,176
666,52,11,702
667,13,10,769
668,51,14,20613
669,51,15,19
670,7,6,283
671,46,9,203
672,49,8,76
673,17,12,496
674,59,15,11
675,51,13,1122
676,48,6,27
677,51,11,10
678,40,13,46
679,60,14,37
680,53,15,348
681,55,10,16
682,49,14,9
683,42,14,36
684,42,7,201
685,48,12,30
686,40,11,149
687,53,14,85
688,29,13,111
689,52,13,25
690,32,13,1577
691,46,13,19
692,44,10,43261
693,51,11,22
694,47,11,2435
695,49,11,18
696,50,15,60
697,40,13,78
698,49,10,137
699,40,12,11
700,37,13,204
701,33,9,26
702,47,11,10359
703,27,11,80
704,35,12,9
705,24,12,22
706,22,10,68
707,50,13,131
708,34,11,16
709,57,11,90
710,48,14,809
711,50,15,16
712,33,9,1099
713,41,12,26
714,54,12,8
715,50,14,576
716,56,13,18
717,45,11,923
718,49,10,178
719,48,12,11
720,52,16,26
721,56,7,20
722,46,9,251
723,45,13,26
724,38,16,29613
725,51,13,59
726,49,12,1047
727,50,14,229
728,43,9,24
729,50,12,281
730,50,12,147307
731,54,11,51
732,29,13,33686
733,56,10,11409
734,19,12,28
735,47,11,33
736,47,15,11
737,46,14,33
738,51,10,21
739,51,11,624
740,34,10,11190
741,52,11,130
742,48,10,7
743,41,15,15436
744,54,8,2957
745,52,13,55
746,47,12,22
747,52,14,78
748,33,5,1323
749,50,11,7
750,18,6,181
751,59,4,19
752,42,11,26
753,52,11,15
754,27,16,40
755,42,7,124
756,32,14,39
757,43,10,16
758,53,12,5365
759,43,14,118056
760,50,6,2946
761,47,11,56
762,46,13,80
763,43,13,26
764,57,7,165
765,50,10,100
766,42,11,90
767,53,11,84
768,46,14,167
769,39,15,72
770,53,10,444
771,47,12,54
772,48,10,137
773,50,10,76
774,51,14,168
775,48,12,154
776,50,13,184
777,54,10,47
778,49,12,1252
779,43,13,43435
780,43,6,47
781,48,4,19
782,32,9,199
783,36,6,597
784,51,11,10
785,42,14,24
786,48,17,40
787,52,7,2115
788,53,12,5700
789,47,13,78
790,45,12,16445
791,48,10,11
792,53,15,52
793,45,8,27
794,25,10,149
795,43,14,4543
796,43,10,255
797,12,10,413
798,49,14,22
799,51,13,8
800,44,7,13
801,48,14,29258
802,57,12,26
803,38,7,11
804,49,8,67
805,55,15,34
806,43,13,34
807,34,9,10
808,54,13,12
809,36,10,125958
810,49,7,70
811,52,12,1158
812,37,8,140
813,47,4,254
814,41,11,18
815,45,5,5331
816,45,8,22
817,31,13,124
818,53,14,14
819,14,9,82
820,40,11,24
821,43,13,29
822,54,11,327
823,49,11,17
824,29,15,9
825,45,10,131
826,52,14,16
827,33,5,25
828,68,11,10
829,34,12,14
830,24,7,29
831,43,10,109
832,41,7,2865
833,44,10,8215
834,46,7,19
835,59,12,11867
836,51,14,29
837,49,7,1531
838,51,11,13
839,47,11,771
840,54,7,47
841,51,8,80
842,45,9,303
843,52,13,33
844,47,14,3059
845,35,10,927
846,47,12,12
847,49,11,38
848,42,13,41
849,53,16,261
850,47,9,12038
851,53,10,26
852,50,13,61
853,52,8,123
854,56,5,236
855,46,10,57
856,54,12,13
857,38,7,13
858,47,12,11
859,44,4,74
860,59,14,1041
861,41,6,2425
862,50,12,10
863,45,11,30
864,48,10,14539
865,49,8,1784
866,49,13,58
867,44,14,19
868,50,12,16
869,57,8,58293
870,55,9,48
871,56,11,290
872,45,14,3144
873,42,13,31
874,49,6,280
875,35,13,599
876,44,10,18
877,50,14,14
878,48,6,139
879,56,7,9
880,44,14,429
881,39,11,10265
882,49,14,76
883,48,14,33
884,40,12,165
885,50,13,8142
886,46,11,78
887,52,11,10
888,43,11,39
889,46,12,9
890,20,10,306
891,51,15,1682
892,48,13,5896
893,44,8,13
894,44,13,55
895,42,11,272
896,37,7,35
897,43,13,1765
898,41,11,36776
899,49,8,57
900,50,11,10
901,33,14,22
902,44,13,294
903,51,13,8
904,50,13,42
905,27,8,289
906,56,9,35
907,50,10,7
908,49,12,9338
909,45,10,50
910,48,14,20
911,41,13,44
912,39,10,19
913,45,14,13
914,58,3,68
915,40,11,36
916,49,14,761
917,43,10,1843
918,44,11,26
919,45,12,509
920,43,12,9
921,57,12,61
922,53,12,12
923,37,14,269
924,46,3,121
925,51,11,128210
926,51,12,25
927,50,14,410
928,53,9,236995
929,40,11,11
930,18,6,675
931,57,13,10
932,50,10,38
933,48,5,29
934,48,15,73
935,45,13,52453
936,35,12,29
937,47,14,11
938,38,12,32
939,47,13,8
940,30,14,13
941,47,10,860
942,45,13,46
943,51,9,78
944,44,16,51
945,51,11,41
946,31,11,7
947,44,8,118
948,22,12,382
949,42,9,415
950,52,10,66
951,52,11,63
952,47,13,424
953,48,11,9
954,52,12,10
955,28,11,5073
956,42,13,134
957,17,8,5084
958,50,12,19
959,54,11,49
960,45,9,13
961,48,12,12096
962,33,12,10
963,49,10,5482
964,50,10,88
965,47,12,38
966,49,7,12
967,38,15,23
968,47,8,8
969,48,11,857
970,52,12,11
971,28,12,50
972,46,14,16
973,46,15,104
974,46,13,195
975,50,13,1348
976,53,10,189881
977,21,10,9
978,42,12,73
979,46,12,105
980,44,12,22
981,53,6,12
982,50,14,75
983,51,12,2802
984,25,14,210
985,48,12,93
986,49,5,562
987,25,5,45
988,53,5,222
989,54,13,72
990,53,14,28
991,47,10,309
992,53,11,39
993,44,14,11346
994,30,14,68
995,49,11,45
996,38,12,526
997,49,14,21598
998,53,16,10
999,50,14,1537
1000,57,14,9
1001,28,9,179
1002,53,15,24
1003,50,10,10
1004,40,9,125
1005,41,6,16855
1006,47,11,30
1007,46,8,21
1008,39,7,11
1009,51,13,1851
1010,47,14,531
1011,46,14,23
1012,45,10,291
1013,51,12,13
1014,35,11,53
1015,55,12,34
1016,44,12,1596
1017,35,9,8
1018,52,7,406
1019,51,14,90
1020,39,12,51
1021,31,9,9
1022,53,15,12
1023,50,16,8
1024,50,10,10
1025,19,12,962
1026,50,12,165
1027,51,13,61
1028,56,12,33044
1029,45,13,13
1030,53,14,48
1031,43,13,16
1032,24,13,28
1033,48,13,56
1034,36,9,20
1035,36,12,14748
1036,44,10,441
1037,60,17,27
1038,55,12,36
1039,47,10,9
1040,51,8,1882
1041,40,12,12
1042,48,6,19
1043,32,15,26
1044,49,9,240
1045,55,9,2256
1046,44,10,109
1047,42,11,23557
1048,22,12,56
1049,63,13,323
1050,45,7,52
1051,53,13,34
1052,46,9,159
1053,35,7,124
1054,54,12,42
1055,41,11,216
1056,46,9,1563
1057,49,13,2271
1058,51,12,479
1059,44,6,46
1060,23,7,470
1061,46,12,523
1062,17,9,4714
1063,44,10,2609
1064,54,15,144
1065,50,11,1182
1066,57,10,60
1067,26,9,494
1068,52,14,507
1069,34,10,96
1070,41,14,34972
1071,24,5,37
1072,40,12,623
1073,41,6,347
1074,15,8,14840
1075,59,14,130
1076,54,11,23
1077,47,5,10504
1078,47,13,11
1079,54,11,138
1080,37,12,44
1081,47,15,411
1082,36,10,246
1083,56,14,760
1084,46,8,17
1085,23,10,7
1086,45,12,465
1087,47,13,18
1088,25,7,10
1089,51,8,295
1090,51,11,13
1091,48,8,607
1092,47,11,22
1093,46,11,12
1094,40,12,28
1095,42,9,1360
1096,50,10,11
1097,61,10,5486
1098,43,13,32
1099,48,15,2050
1100,50,10,27
1101,42,8,211
1102,45,14,10
1103,58,15,705
1104,53,11,30
1105,51,12,127
1106,47,10,59
1107,54,8,13
1108,45,6,10
1109,47,10,7
1110,43,3,7
1111,58,11,16
1112,45,9,17
1113,44,13,23
1114,38,10,104
1115,50,11,462
1116,47,13,24
1117,55,12,480
1118,49,12,2613
1119,31,14,75
1120,45,13,83
1121,46,10,48
1122,25,11,34
1123,39,13,38
1124,47,12,26
1125,51,11,2451
1126,46,10,31
1127,36,3,34
